conta;valor;descricao
13;837,24;Vowelae
60;318,56;Cifabogyshusovo
57;558,82;Qabawoni
25;0,82;Sykyzhuje
93;861,08;Lyconygaemifo
30;628,53;Cilecaeshawashosae
75;980,64;Jaxymubo
45;406,09;Jibemuzha
25;269,99;Gexizhepy
74;450,28;Holygyshaezhylo
23;241,33;Roxaete
83;620,55;Gyxowu
23;899,94;Paelelaejivygaeba
14;273,96;Qelohuba
46;517,36;Kyqaehifiko
22;351,06;Luvivaebacyfae
30;388,55;Kolajumo
1;945,40;Mafucuxishu
84;488,10;Xuxomewywu
32;382,92;Cimewaezhahi
33;142,23;Xadyleqaeqoly
53;727,05;Megucepupodiru
67;965,94;Fobaniji
63;235,11;Maezhukae
13;647,43;Luxinucae
96;972,15;Doqaeduzhaekoqi
9;323,48;Lomolagaezhi
58;106,88;Rafaevihagiva
85;28,67;Samuwatigyqe
58;726,22;Qyhyri
11;892,83;Syraelishu
61;949,65;Noxuroqylilu
25;807,01;Kodiwiraecytaby
80;949,32;Xebejyrixi
45;60,83;Salyvegy
61;327,72;Xejihefirybazhu
84;925,56;Tefytedy
39;509,95;Fagydaepyqushe
8;347,25;Saculitakydy
25;391,14;Luvupaenisa
76;547,68;Pivaegirivae
48;611,88;Qyrajo
62;598,58;Cepyti
85;465,69;Padynugilefo
43;795,74;SHabufaluhajifae
93;488,26;Vysymotete
43;26,15;Jazhuzhaezhaehe
97;780,48;Pelahorale
25;95,92;Talesy
97;148,11;Gaekaebuxae
95;956,84;Paediweje
81;872,55;Xilotaejybu
49;756,13;Robyvi
29;272,46;Temokuwyto
18;850,50;ZHaejurevo
51;185,21;Guvulymolykixu
28;771,90;Jybaravaezhidusu
80;589,97;Jozheshi
59;786,27;Qyrojaebepedy
46;753,64;Fivuly
30;933,81;Lysisy
88;592,47;Dysaepesuly
56;968,46;Saezhokoqidae
76;20,94;Docupoveraqaepi
64;712,33;Getaeho
85;162,15;Pocikycosho
85;605,82;Xidape
53;641,72;Vebodu
1;469,32;Kacanelacace
47;812,04;ZHiraecaeda
49;993,36;Rimemyjomi
18;781,88;Memaehypipumo
59;702,95;Vyvucaerikavyfo
63;177,10;Kaewifa
90;774,80;Luwodyfopaligu
19;777,32;Vurolaepyjajo
78;782,68;Xagushojiqolida
35;212,61;Xuqecelae
58;67,39;Fyxiry
10;239,35;ZHushumae
12;295,69;Puduvu
84;345,32;Laewakusibyjae
59;360,56;Nijyso
46;657,40;Nipaemucodity
64;581,26;SHehavujihufytu
44;630,09;Nasuda
21;535,16;Qafaecura
72;943,79;Wapaebyshesa
56;728,48;SHumunilycy
49;300,91;SHyshoqae
6;266,89;Colido
6;56,90;Novubelono
11;663,77;SHozhaexo
59;215,53;ZHyjehuquwowafae
69;649,60;Tyseqyhubyfae
80;703,98;Wotumidyci
2;638,33;Jyzhaeqaewekaeve
29;115,57;SHilalobe
68;883,67;Tynashomiko
71;634,39;Kedyshojalowerae
42;566,92;Durifae
24;840,85;Sakewae
30;798,49;Gaetabaetofe
30;74,58;Lagotoshiguzhae
22;744,00;Lavyxy
68;747,04;Maegemuge
79;405,98;Raefaekaefy
98;904,72;Bofobekasece
32;651,33;Higixyjyxi
60;536,72;Nakaecysi
22;757,07;ZHyredu
4;689,84;Dobaetikyxy
2;989,20;Cuqywovaejo
21;662,18;ZHemasufujofae
82;951,73;Niwixuwi
74;799,51;Vehacaky
64;990,58;Paewydaelo
51;605,61;Gewaverifigo
50;987,18;SHutegyjuxese
49;568,84;Pezhivudihysy
79;415,85;Salygasi
21;320,86;Wececevaepaqu
60;789,90;Gaefojiso
99;930,62;Sufobywabaemexae
48;440,50;Bogixikashysoge
87;229,04;Naevawaekemule
61;740,19;Jucejimabisaezhae
24;171,98;Vaevomo
61;438,54;Gylojopecafive
61;803,09;Paesheshyvilutosy
75;711,20;Bagucefaeve
22;512,64;Mymibulo
8;706,19;Sufaemaequgilae
43;852,96;Jydyly
89;84,13;Kilawusaetuhobu
96;82,19;Laeqohomazhugofae
2;157,90;Polesoxo
80;747,66;ZHewogeluxova
73;312,39;Viraenawededuny
92;714,36;Relanawa
69;634,34;Waehibi
78;386,53;Rojelaepu
20;83,94;Lakebaxaqipihe
67;722,62;Volatae
17;91,24;Kaecaexaecufo
55;370,92;Nexaetumucovo
56;936,73;Kupigaepuka
82;13,31;Kicaegitukeci
60;214,82;Becemacorivo
4;151,42;Xesadohudushae
8;406,10;Bagecaevype
97;867,42;Syfefokae
89;860,15;Vasubygaenimaxo
64;517,49;Fubyshekupujofi
56;276,51;Lowusunatizhi
14;558,15;Quqaege
62;503,69;Jyjaxanexuqeqi
69;503,34;Leraelufiko
36;926,97;Waeducogidygu
61;697,07;Lilewelasinoge
98;998,03;Vaxaeneciwu
61;727,35;Maeshuva
60;461,70;Qamifuwokicae
30;765,02;Rolyhu
45;719,62;Nyzhapihy
56;821,48;Rumiwotuxuhove
97;891,32;Belixejo
94;255,47;Fyjily
22;415,34;Wuqejuzhisy
66;392,99;Dibaqo
82;505,01;Katorexyma
26;728,72;Naxodadushy
13;19,68;Baesaewy
23;995,23;Wirulalytedae
99;832,39;Vonysho
19;601,99;Cepowae
35;247,93;Nasagajata
10;690,90;Jubikae
76;876,25;Sepaegoxigule
94;306,72;Mycefi
53;656,63;Cudepa
1;572,00;Jawarowelotae
71;905,19;Kalibijoweli
31;259,74;Qazhyzhizho
62;66,76;Gaeshemaeloshu
53;919,85;Busykeja
83;995,68;SHubopitaepa
21;766,34;Lusetoqiqemy
17;733,45;Bapino
2;804,56;ZHulipuzho
99;927,34;Jyxezhy
53;658,70;Lupaemu
10;716,83;Motycimyjaki
72;895,26;Cotufevaelozhara
70;443,98;Cojedycovaelogy
30;873,78;Vaxoviru
82;25,04;ZHeshyjyfo
86;581,19;ZHuhaeshaguboshyby
10;760,37;Gusuwina
67;809,65;Vaelukupuvotywae
53;162,40;ZHemykae
68;58,75;Lehadaetemae
28;281,60;Luvuwyxy
15;358,73;Geluliba
80;283,00;ZHaebysi
86;225,02;Tisyhobo
20;906,71;Bukesy
4;529,03;Giqicome
77;392,68;Nudimaeryfojyzhu
61;771,22;Ledifelae
81;50,26;Laezhemezhy
3;952,50;Dyquhynovae
22;487,19;Xoqimupy
47;527,65;Kigala
77;860,33;Ruwukaezhaexu
98;682,02;Lytalaegaexotysho
45;230,02;Qemazhuzhovadozhy
74;938,98;ZHohela
94;931,99;ZHokyjujiby
46;567,51;Pasavaemivuhila
18;939,83;Bipushaedu
45;852,79;Wexashyxu
47;574,08;Bupaeto
17;344,96;Raevali
7;916,20;Gawexy
97;340,47;Dywicinu
52;922,65;Tesafi
80;505,70;Qaevudyhaeta
64;732,33;Vavufazhaka
71;472,70;Jisushetuteca
73;791,97;Xehutyvuky
44;572,40;Vaefejamoxaewohi
96;138,92;Tywady
93;507,93;Maegetyvalunewe
91;831,20;Vydycinyby
87;36,85;Befosepi
50;692,15;Faekulaesilicalu
87;793,20;Ludazhi
80;323,42;Nehushajeveqino
77;159,82;Rulubutaeshanu
15;723,72;Wawaluwoxashe
55;32,80;Rekukedi
22;632,38;Jyhymo
47;605,36;Cipylucuwopu
5;231,40;Suxofoqaelymy
43;202,18;ZHakycymu
67;612,42;Fasuzhamimae
9;527,16;Xyromahy
42;336,37;Ruqakaepubucy
62;776,26;Gotujiliqaewi
7;199,74;Sequqyry
52;841,51;Xaelaemaly
85;821,12;Loxuposho
86;399,46;Pupefyzhuxopagy
89;778,80;Jigaecy
64;513,58;Mupehefedelilae
50;423,73;Ryregoxaesyfico
17;331,73;Daekaecywobaedava
7;516,42;Hifanydoda
34;301,17;Byvolaeryfila
94;561,07;Celosipikydae
30;334,33;Lebodowojo
86;345,67;ZHuzhoshybo
30;370,98;Luzhaerolae
89;7,55;Qevutacokulae
28;236,60;Paesucyxulafate
36;43,14;Dufeqylytaesu
70;76,48;Wyvycyshae
49;446,04;Xivenovu
57;267,91;Donavozhy
4;945,90;Kumygaehu
22;177,66;Gesifomi
65;211,68;Filary
38;731,90;Niqywofu
85;28,68;Qetaeshe
60;662,35;Jakyhydaraegisy
7;757,17;Veqoko
64;516,87;SHiwufynazhosixu
62;261,14;Bibymiqyni
53;489,72;Lefovaemewyla
90;806,95;Budexorito
13;569,02;Qylyqu
71;485,92;Sibirumy
12;759,79;Jaefijaemyhaecu
24;890,68;Kacoqaeku
19;719,02;Qaeshaelitaro
12;658,08;Rasylufaxo
25;140,66;Luqyjelemi
79;519,80;Pexuhenoredy
66;955,17;Magewukyhumy
48;112,05;Locysharixozhabe
90;658,03;Maetisho
12;736,47;Kovirakodi
53;485,86;Gibyne
1;232,30;Soraekarute
7;147,55;Pishalae
41;276,40;Caecidaexaeveshu
76;799,35;Civamu
45;808,43;Qafoqusaebo
78;869,64;SHilaeqozhuzhu
6;954,98;Kemiki
16;56,18;Fevalejimaelijy
1;879,11;Saejowuhigumolu
78;864,39;ZHufinoni
96;108,17;Jovini
88;591,27;SHibujushepo
71;425,16;Ryvufashala
39;660,27;Vozhyxaelyca
27;39,14;Vaeloxy
11;857,80;Vipaekiravefavy
88;128,35;Xaevaly
72;818,71;Navybyme
71;879,44;Cohejihepyzhi
88;473,09;Bagahawizhushae
1;553,12;Netaebekaevi
45;804,84;Sumacoqo
96;885,27;Kushaekoxa
76;368,51;Pojaetegacy
44;278,49;ZHapylyxi
10;711,35;Vyfishae
37;96,17;Wagywaedycobe
62;217,03;Nojivifigae
36;258,18;Jusese
81;908,25;Banula
56;284,76;Qabidogae
88;164,01;Daepufeno
60;40,67;Wekaerykaetano
75;152,18;Lopezhenu
37;654,46;ZHabezhulu
23;45,63;Vifuxolae
91;112,81;Naefidoby
93;664,34;Vaeqokixerady
6;45,59;Qikelinytyty
43;616,40;Kyrobitae
56;655,62;Tudaeshoxi
16;50,11;Byraenunyshy
37;315,46;Fikekaenae
75;184,46;Wyjuju
12;83,45;Seduvo
14;278,01;Ketuhaewijici
11;487,16;Cocezhavu
10;526,03;Lydizhubucycaemy
83;208,32;Kubosha
14;473,23;Maewadugepywi
92;106,99;Nuxyde
64;410,36;Paetedazho
23;950,66;Loranobylo
91;76,88;Cumokarekepemu
13;918,39;Lizhixejajaequ
54;551,44;Javahashofy
42;491,95;SHeweguwiluhe
18;904,29;Komywylizho
61;599,16;Lelaefyte
7;487,73;Besaepae
20;460,80;Nashaeshyky
33;522,58;Mybaejuno
26;834,99;Cykyvaekoxowuwe
46;315,82;Mijaededaefygivo
54;377,91;Dixyzhekaewe
79;896,63;Saevafaejemuxae
35;844,81;SHyfijyxazhapaeho
64;461,59;Wopufamodixawy
5;272,96;Qigosa
15;223,96;Rishexoxae
31;714,85;Xilejymaevohizhe
38;932,55;Gykulitovaepae
37;618,79;Kirugaecuha
51;878,63;Cilolijybi
74;238,66;Tymalalave
90;165,58;Josuzhofe
75;235,13;Pubaexakomasho
7;269,37;Kawamugujiqele
27;535,29;Velaqo
43;516,82;Lehamolyda
90;2,36;Xabosebaberybu
15;239,08;Xabihy
21;893,05;Qashovi
84;609,79;Wiwaemade
29;58,73;Sobogysu
90;180,37;Gakovuhaegiwasha
21;536,21;Vatoshohujojucu
40;722,36;Raewazhi
63;378,83;Dydashuxyxizhi
44;462,02;ZHycaebyno
68;361,09;SHelajy
95;412,77;Fiqasegetotozhe
65;204,00;Tylaele
35;69,58;Vujidae
95;971,94;Wuraeviforoqedy
82;778,93;Mujipidaevynaeqe
25;827,32;Gunydashonemi
71;122,51;Myromenysolalae
91;574,08;Xuvikitymo
45;9,42;Qapaesigipy
46;90,81;Wenehae
14;485,83;Xataeqaemaegi
50;565,49;Pynojipahy
74;608,44;Jacaenyfae
50;444,29;Wanonucubu
79;135,63;Raenyshelili
37;177,64;Daetafu
33;996,42;Gedapaehudy
79;278,82;Vishashaewy
36;58,65;Vaetitubyxubuvy
90;496,06;Dofananahymidi
30;711,67;Pahosi
44;827,77;Laebelyva
83;564,12;Tywole
78;671,11;Keshebylomisi
55;84,81;ZHyzhaenaesa
71;790,37;Nabepogelelyby
24;696,88;Ridaelevy
43;70,49;Subuxutesae
94;702,03;Lupagaeno
43;717,95;Laesaexehaeguqae
64;96,01;ZHaedynulaeleroge
55;636,16;Gajavexobesae
32;51,83;Daemozhusaegudeno
88;280,88;Bilireve
39;801,28;Jokeforo
60;342,77;Dyveqysaeteny
83;828,73;Pifaeke
59;524,18;Qyvaesaexyqupuju
42;890,11;Jaerurasaxe
26;880,39;Motulakoku
56;500,17;Lukaeqaeshusy
97;350,18;Nasuryxicaele
49;967,42;Qaelujosanunushy
73;403,25;Lyhaevuvubuka
32;59,02;Dolafadaehiwa
76;657,00;Wuloludotaeguga
11;776,87;Popoxaemaerylaqa
80;367,67;Bisifeho
21;451,75;SHywineshusa
48;134,10;Faedaenynywaeqae
47;955,44;Tekysulagi
79;839,68;Qaligaezhixexe
92;814,16;Focisokilae
80;871,30;Bycogahaenoshae
40;8,85;Benexylezhuzhu
11;702,66;SHokaegiwu
81;564,64;ZHexuxalu
91;625,20;Hoxaete
79;626,67;Podyjywae
75;128,36;Vushykylezhofae
45;9,62;Bosowobo
39;326,48;Pyhumo
53;492,63;Fonove
30;637,06;Laepahebaezho
3;415,79;Saehuqanihifaezhi
37;111,16;Forafury
14;522,75;Qyxaqaeho
76;709,88;Nyqagaerirupesi
84;91,57;Codaepeqewaboqo
14;624,49;Jamanyhae
26;362,58;SHaexaehanysho
17;873,02;Haebaehenuzhiwy
23;364,34;Xavaepaedagavae
48;686,55;Caexajole
47;425,37;ZHurudufyce
42;235,90;Tijomazhaecysaca
24;442,83;Ribywuzha
29;822,91;Qiluhesynae
24;954,20;ZHosofafarewuga
85;237,00;Lecocaexi
53;46,09;Qishiceshibo
39;785,37;ZHexecasha
67;850,19;SHalylywafe
58;689,08;Daenyshapohowape
28;630,36;Sijuruheshe
72;277,65;Laenibynalocaezhi
95;756,58;Syraemy
69;445,01;ZHatehefe
75;228,35;Gomuzhaemuqae
7;520,22;Puwile
2;2,45;Qapobi
51;370,08;Qigusuzhaezhody
84;774,88;Jaehagyxyqilopi
17;131,21;Laesyshivi
88;704,55;Bosoki
38;913,23;Kapiduxe
99;326,79;Paxakytucisujae
67;690,16;SHilahedisivele
4;24,78;Sovaenajy
99;161,60;Vebijae
21;303,05;Nevonorasy
69;590,12;SHyjohiricixa
12;355,09;Mylaeladaehazhi
75;772,91;Jerigilaevaegibae
50;635,09;Vahaeshuliqaco
43;508,48;Fogivigujy
64;827,50;Kakurynaefo
26;643,03;Bibitikushe
85;101,50;Vuwadaqe
65;187,76;Kyxeladaxi
48;141,26;Jijaenyqy
85;599,36;Bimaci
82;227,15;ZHaecamisalukege
69;492,24;Dotyshisuvyjiko
74;787,71;Napaejaly
34;160,41;Wubopaqaegushu
60;149,36;SHiduhibaha
83;502,72;Rosaeti
52;772,05;SHyqokaefa
53;222,01;Kegogae
25;554,24;Gaeqoduvae
80;9,50;Bamedihizhojugi
3;739,85;Hehegyroshita
20;487,58;ZHepewareheshezho
17;844,48;Raeshaewa
98;589,94;Qecebu
17;938,80;Laelujirilukyshy
50;986,84;Gepaebawy
40;30,80;Vokuhaeliwe
9;768,86;Qyrypafufashy
54;78,01;Conecufodiki
47;174,82;Rifaedunymevo
96;178,27;ZHymeloby
88;40,38;Newozhykaeshushezhy
47;859,11;ZHaedaemelulu
33;836,51;Fynamebi
44;566,46;Delyqy
99;254,73;Vojishazhyfuzho
77;570,75;Xezhera
4;246,03;Pymyhudaeqesae
27;163,52;Vuwywucaelae
13;788,06;Xolaeqa
91;788,46;ZHelihae
91;786,21;Kafudapa
46;913,64;Kaqydaequfihipe
28;259,82;Rahodyqobae
35;238,76;Hikutegosi
53;897,65;Qihikaepyxy
38;532,71;Kejoheru
49;160,64;Vohaerisytugone
47;27,26;Woxequcaemysashae
76;708,25;Modipyquzho
82;454,93;Dasishe
1;185,71;Pulumumo
49;857,80;Vozhaliry
2;779,34;Maemugerovae
27;248,39;Tuxojihi
76;355,42;Helybopolewini
37;141,82;Loxaekywoqysaezhe
57;247,78;Laebufyfaesesae
27;60,97;Napikorytitu
3;289,99;Nojalanifacybi
81;673,84;Kimejade
38;386,80;Gepuwo
85;727,16;Wecoquzha
79;241,11;Xibedetyjynyse
89;661,11;Hulovyly
33;756,01;Saeqefakebegaje
84;643,63;Gisaqahi
16;865,42;Bixohi
7;175,42;ZHimedofyshaqe
74;802,07;Hejycocushy
36;167,92;Pynaqisolashae
68;192,63;Fojecyzhupofu
96;793,05;Fezhocybaxywaefo
89;754,43;Helixo
84;233,33;Jadashazhily
84;37,77;Haekaewu
57;601,08;Poxeqybagugusha
44;624,56;Ratytaenae
77;449,02;Ruwulokyvuzha
88;910,56;Qehihina
45;705,62;SHaedicaezhushyli
24;608,73;Daezhegi
47;515,96;Raqifelitolixa
32;143,87;Hilevolekapodu
41;8,04;Havotoxiraejo
3;663,49;Qaevuhi
92;571,59;Baerywaeviti
30;958,67;ZHotofaeby
26;793,76;Caeqakipyluxo
28;870,26;Tevogyvy
32;534,30;Jirigaeshyfaeshe
36;495,41;Dakupevi
68;767,90;Milytujizhaezhipe
86;462,16;Cabamada
27;849,67;Gyzholenedyro
41;912,27;Pazhanae
53;727,61;Murisy
13;183,64;Jazhesawe
3;61,67;Qumaeto
90;969,02;Momahity
90;213,07;Xacaeraenowalae
57;810,15;Paefecymy
83;328,56;Raezhaxalaloqy
21;886,08;Suzhahahigike
41;157,12;Qysetiqozhiqilo
42;839,47;Pybaekaefyzhe
51;80,65;Qaxikocyshohu
39;512,32;Gitaxevaete
99;79,85;Naejyqaemoraeqae
75;590,41;Raejaezhi
22;378,21;Cigulaelaevae
14;146,00;ZHanaso
87;996,66;Saxidushi
14;540,95;Lekuqiqe
21;567,58;Nymaequpu
41;80,44;Xyshaewaepae
61;679,41;Daxuro
7;993,13;Maesaemybobaezhae
9;746,47;SHaecigo
3;483,64;Vydoxylyzhe
94;422,07;Nelilulakaequ
20;741,00;Naenedacaenekae
53;76,62;Qogaevashaezhaeshi
5;202,18;Koreteqaqy
14;944,24;Saelushaedodaegupi
67;123,86;Jigizhixy
82;125,91;Lyxivosyzhaequhi
23;324,80;Pubyshumesoly
2;808,54;Byryju
17;801,25;ZHibomyzhy
16;633,95;Hamipowinajaesa
93;223,03;Hujashaenitetopo
41;799,17;Byfubaetiry
36;449,73;Kuvexywidohyxae
90;470,89;Qeguripizhewysi
94;671,02;Caezhuvakimo
45;826,57;Fomevetufaekaewae
21;783,22;Hycoqosaelecepa
88;828,91;Raelisupavishyxe
28;905,44;Vevofuzhuky
29;107,17;Caelulytyhy
60;175,98;Famivae
63;526,23;Lyhekaexyfae
57;185,94;Saetebugucaeto
27;957,78;Wyryqori
64;287,12;Cycynypyse
95;288,05;SHaelaxurujaena
95;513,84;Taevafi
75;980,77;Xujebyxycaeju
3;610,05;Gushawaecuvae
71;912,69;Quligufoposa
17;780,29;Fazhufaehyjise
62;807,29;Nuxyzhifyshejae
6;281,18;Himyxaebodawiju
31;705,24;Raecylo
37;351,53;Kumucujetolely
29;127,77;Kaedewaefutetaejo
26;253,50;Litake
74;604,38;Xezhaexuvuju
21;254,32;Bysijaefyqae
85;649,30;Paesarobo
88;334,95;Razhuqeleloko
30;756,23;Nosewi
89;585,57;Gubonotaesohypu
39;128,35;Dihyxirusubagy
94;282,37;Domaejaeliludulae
44;856,91;Hixagoviwocae
1;586,36;Gushube
75;288,14;ZHylafosahataezhy
1;544,16;Cylihajyropyba
56;525,05;Hyhelawe
19;48,61;Lybigae
74;925,28;Meluquzhae
26;265,88;Maewishylishaxae
73;562,88;Soshepuraeshaeja
26;475,67;Godefowusaqa
70;389,43;Wywybe
62;927,51;Dorewyjehyva
70;407,77;Cecuhotabae
80;783,76;Kaqusheceso
52;189,39;Laeshysolaky
25;649,30;Waecukaekynywyly
91;385,04;Paexibypo
9;561,98;Cegulany
21;745,45;Rixehynabukae
21;643,98;Wurezha
6;496,26;Wasadoshohejysu
30;26,36;Mesifavaejuca
63;437,76;Paholojo
58;195,29;Davaetu
14;95,59;Quxifevi
31;481,90;Nasaepidokapi
69;94,18;ZHelizhoby
64;875,78;Liwexymoqugy
59;140,67;SHabaegote
80;563,53;Vamyfaki
71;953,39;Labaezha
81;189,91;Peboky
77;74,53;Wehojinylewo
29;887,68;Mukelorishatyji
